team_id,model_id,AME,DV
2,t2m1,0.00447,Scale_5
2,t2m2,-0.04007,Scale_5
2,t2m3,-0.10363,Scale_5
2,t2m4,-0.07592,Scale_5
3,t3m1,-0.011,Jobs
3,t3m2,0.002,Unemp
3,t3m3,-0.01,IncDiff
3,t3m4,0,OldAge
3,t3m5,0,House
3,t3m6,-0.004,Health
3,t3m7,-0.008,Jobs
3,t3m8,-0.028,Unemp
3,t3m9,-0.022,IncDiff
3,t3m10,0.021,OldAge
3,t3m11,0.027,House
3,t3m12,0.034,Health
5,t5m1,-0.00616,Jobs
5,t5m2,-0.00654,Unemp
5,t5m3,-0.00292,IncDiff
5,t5m4,-0.00086,OldAge
5,t5m5,-0.00124,Jobs
5,t5m6,0.00706,Unemp
5,t5m7,0.00392,IncDiff
5,t5m8,0.00202,OldAge
5,t5m9,-0.00842,Jobs
5,t5m10,-0.00294,Unemp
5,t5m11,-0.00409,IncDiff
5,t5m12,-0.00045,OldAge
5,t5m13,0.02112,Jobs
5,t5m14,0.00733,Unemp
5,t5m15,0.0132,IncDiff
5,t5m16,0.0021,OldAge
5,t5m17,-0.09966,Jobs
5,t5m18,0.09341,Unemp
5,t5m19,-0.05343,IncDiff
5,t5m20,-0.00308,OldAge
5,t5m21,0.00127,Jobs
5,t5m22,0.00041,Unemp
5,t5m23,0.00034,IncDiff
5,t5m24,-0.00051,OldAge
5,t5m25,0.00648,Jobs
5,t5m26,0.06898,Unemp
5,t5m27,-0.01835,IncDiff
5,t5m28,0.00895,OldAge
5,t5m29,-0.00047,Jobs
5,t5m30,0.00185,Unemp
5,t5m31,0.0008,IncDiff
5,t5m32,0.00041,OldAge
6,t6m1,-0.04493,Jobs
6,t6m2,0.02681,Unemp
6,t6m3,-0.03185,IncDiff
6,t6m4,-0.01539,OldAge
6,t6m5,-0.2553,Jobs
6,t6m6,-0.61267,Unemp
6,t6m7,-0.23031,IncDiff
6,t6m8,-0.22025,OldAge
7,t7m1,0.01728,Jobs
7,t7m2,0.05063,Unemp
7,t7m3,0.04258,IncDiff
7,t7m4,0.03399,OldAge
7,t7m5,0.02667,Scale_4
7,t7m6,-0.2376,Jobs
7,t7m7,-0.48632,Unemp
7,t7m8,-0.57886,IncDiff
7,t7m9,-0.35005,OldAge
7,t7m10,-0.30608,Scale_4
8,t8m1,-0.00668,Scale_6
10,t10m1,-0.01011,Jobs
10,t10m2,0.02952,Unemp
10,t10m3,0.00224,IncDiff
10,t10m4,0.01424,OldAge
10,t10m5,-0.00508,House
10,t10m6,-0.0088,Health
10,t10m7,-0.06731,Jobs
10,t10m8,-0.34914,Unemp
10,t10m9,-0.10145,IncDiff
10,t10m10,-0.15193,OldAge
10,t10m11,-0.05372,House
10,t10m12,0.03622,Health
12,t12m1,-0.015,Jobs
12,t12m2,0.031,Unemp
12,t12m3,-0.014,IncDiff
12,t12m4,-0.003,OldAge
12,t12m5,-0.008,House
12,t12m6,-0.034,Health
12,t12m7,0.286,Jobs
12,t12m8,0.113,Unemp
12,t12m9,0.22,IncDiff
12,t12m10,0.285,OldAge
12,t12m11,0.377,House
12,t12m12,0.336,Health
13,t13m1,-0.052,Jobs
13,t13m2,-0.042,Unemp
13,t13m3,-0.024,IncDiff
13,t13m4,-0.042,OldAge
13,t13m5,0.021,House
13,t13m6,-0.009,Health
13,t13m7,-0.48825,Jobs
13,t13m8,0.0465,Unemp
13,t13m9,-0.47275,IncDiff
13,t13m10,0.0775,OldAge
13,t13m11,0.22475,House
13,t13m12,-0.86025,Health
13,t13m13,-0.47,Jobs
13,t13m14,2.09,Unemp
13,t13m15,-0.24,IncDiff
13,t13m16,2.21,OldAge
13,t13m17,2.47,House
13,t13m18,1.47,Health
13,t13m19,0.66,Jobs
13,t13m20,-0.32,Unemp
13,t13m21,-0.57,IncDiff
13,t13m22,0.44,OldAge
13,t13m23,1.3,House
13,t13m24,1.21,Health
16,t16m1,-0.02708,Scale_4
16,t16m2,0.17292,Scale_4
17,t17m1,-0.01659,Scale_4
17,t17m2,-0.06989,Scale_4
17,t17m3,0.01586,Scale_4
