team_id,n_models,mean_AME
2,4,-0.053788
3,12,0.000083
5,32,0.000954
6,8,-0.172986
7,10,-0.178776
8,1,-0.006680
10,12,-0.055443
12,12,0.131167
13,24,0.359563
16,2,0.072920
17,3,-0.023540
18,12,0.010083
19,10,-0.010016
20,3,0.042333
21,2,-0.042340
22,6,0.000222
23,48,0.019261
26,4,-0.077935
27,12,0.012529
28,24,-0.000850
29,48,0.007622
30,8,0.010187
31,48,-0.000221
32,1,0.008080
33,20,-0.267857
34,16,-0.047712
35,4,0.044000
36,6,0.001622
37,3,-0.001977
38,2,-0.098590
39,12,-0.071934
40,8,0.148000
41,12,-0.040542
42,2,-0.257955
43,6,-0.022030
45,6,-0.003670
46,24,0.002824
47,12,0.043553
48,14,0.036601
49,12,0.009138
52,36,-0.042129
54,12,0.029612
56,2,0.033500
58,36,-0.069937
59,24,-0.003792
60,24,0.005365
61,24,-0.003023
62,16,0.092514
64,16,0.002784
65,36,-0.035010
68,112,0.005747
69,12,-0.001964
70,16,-0.017625
72,12,0.012859
73,12,0.004743
75,18,-0.062956
77,6,-0.074833
82,8,0.003757
83,12,-0.001742
84,12,-0.034083
86,54,-0.003358
87,12,0.026500
93,20,-0.000504
94,12,-0.060167
95,8,0.011151
96,96,0.002788
97,12,0.001373
98,32,-0.010263
101,48,0.099141
104,4,-0.130305
106,4,-0.016840
